Name,Value.gain,Value.bw,Value.constraint_gain_constraint,Value.constraint_pm_constraint,Value.LM1,Value.LM2,Value.LM3,Value.WM1,Value.WM2,Value.WM3,Value.Rb,Value.Vb
10,-0.595615818181818,-0.12917266,-32.75887,-14.5032837029454,4.10474652126431E-07,1.15825445267076E-06,9.8921269284444E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.644643597335363
11,-0.597819272727273,-0.1271456,-32.88006,-13.813100127745,4.10788028988886E-07,1.15825445267076E-06,1.03659560900139E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.644643597335363
12,-0.661188545454545,-0.07724692,-36.36537,-21.0538577149385,5.14810414892528E-07,1.93924054134383E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,2157.48173067053,0.678795970863178
13,-0.482978,-0.2675924,-26.56379,-26.7146971355217,2.7191150176099E-07,1.85907401178059E-07,4.30338463817669E-07,9.74705278155888E-05,9.63778304489418E-05,1.07899110625032E-05,105.066228461579,0.641304387432982
14,-0.675488363636364,-0.06744698,-37.15186,-20.5430032281669,5.14810414892528E-07,1.93924054134383E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,4.22073926610503E-06,2715.31505579516,0.708799225186819
15,-0.561351090909091,-0.16358372,-30.87431,-17.3934771680467,3.47784003158223E-07,7.5696251811738E-07,8.47466738876054E-07,9.74705278155888E-05,9.63778304489418E-05,1.07899110625032E-05,105.066228461579,0.641304387432982
16,-0.580568,-0.14273348,-31.93124,-14.531082316718,3.62042038620901E-07,1.13902784885204E-06,9.55735582742182E-07,9.74705278155888E-05,9.63778304489418E-05,1.07899110625032E-05,105.066228461579,0.641304387432982
17,-0.421836181818182,-0.3657522,-23.20099,-33.6144075658975,2.09770414816309E-07,1.85907401178059E-07,3.77505334809183E-07,9.74705278155888E-05,9.63778304489418E-05,2.80606333675224E-05,293.028474806668,0.445043660592035
18,-0.593386545454545,-0.13111572,-32.63626,-15.088049910577,4.10788028988886E-07,1.15825445267076E-06,9.55735582742182E-07,9.74705278155888E-05,9.55120924159402E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
19,-0.382377454545455,-0.453908,-21.03076,-36.3523890751587,2.09770414816309E-07,1.41059788264506E-07,2.78512237527546E-07,9.74705278155888E-05,8.3464555782482E-05,3.28737134777106E-05,105.066228461579,0.445043660592035
20,-0.605089090909091,-0.12050292,-33.2799,-12.7830563178293,4.10788028988886E-07,1.24315597713996E-06,1.08918119830822E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.655797904321387
21,-0.486347090909091,-0.2613664,-26.74909,-27.4690297756173,2.7191150176099E-07,4.69708557200174E-07,4.30338463817669E-07,9.74705278155888E-05,8.91927602440567E-05,1.02087069393529E-05,105.066228461579,0.58421347999936
22,-0.541997090909091,-0.18559842,-29.80984,-22.100625877767,3.47784003158223E-07,7.07082740986846E-07,6.24057560333273E-07,9.74705278155888E-05,9.63778304489418E-05,1.02087069393529E-05,105.066228461579,0.62266229467584
23,-0.554014727272727,-0.17171896,-30.47081,-20.4021944445738,3.47784003158223E-07,7.5696251811738E-07,6.85254716091663E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.644643597335363
24,-0.658608909090909,-0.0788039,-36.22349,-20.8534612326184,5.14810414892528E-07,2.63446442308953E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,2157.48173067053,0.671533717862347
25,-0.765162727272727,-0.016306848,-42.08395,-18.9378251716291,8.43470328200899E-07,1.93924054134383E-07,1.2826978415949E-06,9.74705278155888E-05,4.49753442567746E-06,9.78287698266748E-07,8806.83085869686,0.797403457512887
26,-0.598105818181818,-0.12687758,-32.89582,-13.6488210392943,4.10788028988886E-07,1.2107979174346E-06,1.03659560900139E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
27,-0.658761272727273,-0.07877356,-36.23187,-12.3770212787892,5.14810414892528E-07,1.23513980412098E-06,1.2826978415949E-06,9.74705278155888E-05,8.54250086296184E-05,5.55431707169376E-06,327.60343817383,0.708799225186819
28,-0.472293636363636,-0.2852098,-25.97615,-28.6991484016721,2.7191150176099E-07,1.93924054134383E-07,3.77505334809183E-07,9.74705278155888E-05,9.63778304489418E-05,1.07899110625032E-05,105.066228461579,0.617189115794657
29,-0.400256181818182,-0.4209298,-22.01409,-32.0405859242956,2.09770414816309E-07,1.93924054134383E-07,3.77505334809183E-07,9.74705278155888E-05,9.63778304489418E-05,2.80606333675224E-05,105.066228461579,0.46662621652784
30,-0.635426181818182,-0.0956613,-34.94844,-10.8706289886621,4.57866624289695E-07,1.15825445267076E-06,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,6.6739221636223E-06,105.066228461579,0.700500761097799
31,-0.561222727272727,-0.16372124,-30.86725,-17.4050780965472,3.47784003158223E-07,7.52862291227311E-07,8.47466738876054E-07,9.74705278155888E-05,9.63778304489418E-05,1.07899110625032E-05,105.066228461579,0.641304387432982
32,-0.566997272727273,-0.15780386,-31.18485,-17.4027409450656,3.62042038620901E-07,7.5696251811738E-07,8.47466738876054E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.644643597335363
33,-0.603225090909091,-0.12218364,-33.17738,-13.0651972910664,4.10788028988886E-07,1.15825445267076E-06,1.08918119830822E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.655797904321387
34,-0.389779454545455,-0.4396718,-21.43787,-32.489439084206,2.09770414816309E-07,1.41059788264506E-07,3.77505334809183E-07,9.74705278155888E-05,9.63778304489418E-05,3.28737134777106E-05,105.066228461579,0.445043660592035
35,-0.624504,-0.10404496,-34.34772,-13.4139031730277,4.57866624289695E-07,1.24476737353154E-06,1.03659560900139E-06,9.74705278155888E-05,9.63778304489418E-05,6.04791963619607E-06,105.066228461579,0.688724193364027
36,-0.600026909090909,-0.12514512,-33.00148,-13.4211379003994,4.10788028988886E-07,1.23513980412098E-06,1.04651480811341E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.644643597335363
